user_id,username,pp,global_rank
35594129,muradauuuu,13351.1,476
24531833,dolfin-_,13350.5,477
20600375,PatrickPatStar,13350.3,478
24079315,TEIBA,13349.8,479
30445853,Sentes,13345.5,479
10649463,[Paw] Winwin,13342.8,480
18724987,20M-RFT45,13337.4,481
14252808,sushifromasia,13337.4,482
29743849,[GB]Lingyu,13334.7,483
24641217,200iq-,13331.5,486
8243526,Gxbran,13331.4,485
18880773,maciek1281000,13327.2,486
4084853,xxxxxx2800,13325.9,487
13769101,Netroo,13321.3,488
23909612,FOX_ALPHA321,13316.6,489
17245290,Rage Mongraal,13313.4,490
34454156,MightyTech,13311.4,491
35073100,Einsiedler,13310.8,492
24621752,black_dragon28,13308.2,493
19968043,southest,13306.0,495
11183413,CertifiedPinoy,13302.9,495
11943363,Babylkaa,13302.5,496
6699923,Sunyata,13300.9,497
23738691,Chordjack,13290.1,499
35843897,wushang,13284.9,500
24972681,[GB]THfairy,13275.0,502
37125773,Centro,13273.9,502
14551764,[LS]Mitter,13267.6,502
22468508,MadSoiled,13263.4,504
25623334,DaMuffin,13258.6,504
29169697,RobiFanBoy,13245.4,506
