user_id,elo,username,country
25103169,291.591861611732,imslow,KR
11563203,290.99323855707814,osu_degenstage5,HK
10443855,290.82039829065013,rurudo1o1o,CN
26852975,290.68640913891085,-sakuragii-,PH
16233412,290.48631553073994,[GB]fanqiu,CN
4477497,290.20283369925426,cheewee10,MY
35073100,290.19540316728023,Einsiedler,CN
23055329,290.13172490882897,V3lium,KR
16081867,289.9214849493597,- Such -,TW
13349388,289.809523831286,Achino,TH
15716021,289.74674706287504,syaro-,GB
36127245,289.7143931981423,devlizer22,TH
13310760,289.2794336081414,Zayin -,MX
13857689,289.0280712393997,Axfaerie,PH
8715409,288.97811826139866,[GB]gluefly,CN
7486692,288.96333596978906,decoy-,CZ
13193798,288.9484917474491,ManiaDegengod,PH
9828306,288.3717695231504,a1ternation,AU
22839620,287.8863616101574,beta carotene,US
22725724,287.77677285524584,magnifestio,VN
26188903,287.7353886175961,ThreeAccounts,US
18693260,287.6631249098896,FabrizzioGd,PE
16751671,287.54853286375607,NerwinFFR,US
16615040,287.5422710506513,Nicknem_,KR
15142530,287.51588779279064,Ticy,SK
16247752,287.4782587087984,-Miuuz-,CL
34623234,287.2681192820303,osu noob536978,JP
15807199,287.0923177838063,TheSandCastle,EE
9921804,286.6052583438747,Truzko,ES
22428183,286.60224104170254,darealwiXX,US
18264749,286.3371559237123,luc_d,US
14245127,286.16918351119995,o_u,GB
33648488,286.0294046681014,Nacreous420,VN
25159471,286.02701168507275,senkhyu,CH
20955186,285.8403771337223,heracross,CA
28608716,285.7410967985374,Bonono man,JP
8271436,285.68879547281097,RiceSS,CN
19477584,285.40597337243133,ComboPower,CN
26253851,285.2727787755444,Aigisfangirl,BR
10466798,284.7258781343116,Chinako0721,CN
9781014,284.7156481241764,Miwiki,BR
22352560,284.675554816797,Para39,CN
34112607,284.5798971199471,Danet,ES
12093536,284.39019660395184,[GS]linc,US
34313193,284.32706052309254,Scarlet_off,RU
20288785,284.31650924761084,Mania,US
25558684,284.3112576644747,[Crz]XiaoJun,CN
22715351,283.93744756260253,teddi,BG
18804586,283.249824175932,mattobi,GB
15543726,283.1436116351932,nanonbandusty,TH
21468116,282.99176729453774,Ruhster,PH
26851935,282.96130047019847,[LS]liadayo,PH
14952379,282.6297479209302,GC2404,PA
12429489,282.5904844014654,Fubusan,US
15116540,282.5667015060973,zeus148,US
